Date,Close,Volume,Open,High,Low
2015-04-02,191.0,5004742,190.23,193.23,190.0
2015-04-06,203.1,12422770,198.0,207.75,197.5
2015-04-07,203.25,4340295,202.51,205.06,201.14
2015-04-08,207.67,6279713,208.2,210.9,205.87
2015-04-09,210.09,3779853,208.43,210.37,206.12
2015-04-10,210.9,4020850,209.85,211.65,209.0
2015-04-13,209.78,3757220,210.44,213.0,209.05
2015-04-14,207.46,3019087,208.57,209.49,205.5
2015-04-15,207.83,1943802,207.46,209.59,206.6
2015-04-16,206.7,1657018,207.7,209.17,206.29
2015-04-17,206.79,2465551,204.99,206.88,203.5
2015-04-20,205.27,2558913,206.78,207.85,203.85
2015-04-21,209.41,3416177,205.8,210.75,204.31
2015-04-22,219.44,7855513,212.5,221.88,211.69
2015-04-23,218.6,4408384,218.27,221.48,217.15
2015-04-24,218.43,2426356,220.5,220.8,218.01
2015-04-27,231.55,11659100,222.56,238.75,222.0
2015-04-28,230.48,6080178,234.75,235.5,228.03
2015-04-29,232.45,3931287,230.05,234.97,227.63
2015-04-30,226.05,3892230,230.39,232.89,225.17
2015-05-01,226.03,5276924,229.94,231.77,220.41
2015-05-04,230.51,4427259,228.18,234.73,227.11
2015-05-05,232.95,5782731,237.76,239.5,229.13
2015-05-06,230.43,5083776,234.1,234.47,228.2
2015-05-07,236.8,9439902,221.0,237.48,220.25
2015-05-08,236.61,4665445,235.99,238.41,233.7
2015-05-11,239.49,5663800,236.29,242.88,235.31
2015-05-12,244.74,6345797,240.11,246.35,238.19
2015-05-13,243.18,5432689,247.61,248.3,242.25
2015-05-14,244.1,2847083,244.82,244.89,241.25
2015-05-15,248.84,4519337,243.93,249.4,242.5
2015-05-18,248.75,3349931,247.0,249.9,246.0
2015-05-19,247.14,3668199,248.43,251.0,246.15
2015-05-20,244.35,3749479,247.13,247.74,241.37
2015-05-21,245.62,1966567,243.03,246.62,242.36
2015-05-22,247.73,2219309,245.38,248.6,245.01
2015-05-26,247.46,3490996,247.68,252.0,246.5
2015-05-27,247.43,3403988,248.51,249.5,245.55
2015-05-28,251.45,3646063,247.03,251.8,245.05
2015-05-29,250.8,3785112,251.0,252.87,249.43
2015-06-01,249.45,2502238,251.41,251.6,247.47
2015-06-02,248.35,2129438,248.92,249.4,246.3
2015-06-03,248.99,1778102,248.2,250.72,247.01
2015-06-04,245.92,2425588,247.5,249.3,245.71
2015-06-05,249.14,3019837,246.0,249.7,245.68
2015-06-08,256.29,5006944,250.85,258.75,250.31
2015-06-09,256.0,2596059,255.4,257.74,254.14
2015-06-10,250.7,3452631,251.9,254.0,248.5
2015-06-11,251.41,2040973,253.26,254.37,250.43
2015-06-12,250.69,1418457,250.21,253.46,250.21
2015-06-15,250.38,2182932,249.7,251.28,246.01
2015-06-16,253.12,1980918,250.13,253.44,249.1
2015-06-17,260.41,5500560,252.17,264.36,252.02
2015-06-18,261.89,2781441,262.0,263.46,260.02
2015-06-19,262.51,2458900,262.4,263.8,260.1
2015-06-22,259.79,4559072,262.15,264.4,255.69
2015-06-23,267.67,3864602,260.32,268.0,258.57
2015-06-24,265.17,2411492,266.98,267.35,263.72
2015-06-25,268.79,2844993,266.45,271.41,265.25
2015-06-26,267.09,3829660,268.89,269.11,266.0
2015-06-29,262.02,3471452,261.95,265.95,260.7
2015-06-30,268.26,3084435,264.8,270.92,264.0
2015-07-01,269.15,2100019,271.11,272.62,267.85
2015-07-02,280.02,7155585,280.2,282.45,273.31
2015-07-06,279.72,4109259,278.88,281.69,276.3
2015-07-07,267.88,6096385,275.0,275.2,260.77
2015-07-08,254.96,6212610,259.32,260.8,254.31
2015-07-09,257.92,3329764,259.08,262.95,256.79
2015-07-10,259.15,2605215,262.22,263.0,257.82
2015-07-13,262.16,2951397,262.25,262.55,256.05
2015-07-14,265.65,1905569,262.1,265.99,260.51
2015-07-15,263.14,2006860,266.74,267.49,262.08
2015-07-16,266.68,1598253,264.22,267.2,263.16
2015-07-17,274.66,4996689,272.5,275.54,268.25
2015-07-20,282.26,4969754,275.0,286.65,272.54
2015-07-21,266.77,6091632,270.05,273.5,266.55
2015-07-22,267.87,3097326,261.27,269.44,260.86
2015-07-23,267.2,2222481,269.65,269.9,265.27
2015-07-24,265.41,2834521,267.38,271.09,263.92
2015-07-27,253.01,4688874,262.43,264.43,250.79
2015-07-28,264.82,3879330,255.75,265.4,251.84
2015-07-29,263.82,2782886,264.27,267.89,262.0
2015-07-30,266.79,2030605,262.69,266.94,262.11
2015-07-31,266.15,2218004,267.6,269.36,265.12
2015-08-03,259.99,2547164,266.29,266.71,257.07
2015-08-04,266.28,2336152,260.01,266.72,258.34
2015-08-05,270.13,5969245,263.58,271.0,260.4
2015-08-06,246.13,14617820,249.54,255.0,236.12
2015-08-07,242.51,5069602,243.58,243.73,238.39
2015-08-10,241.14,4179307,238.15,242.97,236.05
2015-08-11,237.37,4260892,237.15,239.3,234.44
2015-08-12,238.17,3730138,235.0,239.77,232.74
2015-08-13,242.51,4683330,239.86,246.48,239.12
2015-08-14,243.15,4360693,247.24,247.93,241.77
2015-08-17,254.99,7168396,255.56,256.59,250.51
2015-08-18,260.72,4186051,255.38,260.95,253.56
2015-08-19,255.25,3598937,260.33,260.65,255.02
2015-08-20,242.18,4892170,252.06,254.56,241.9
2015-08-21,230.77,6578435,236.0,243.8,230.51
2015-08-24,218.87,9562484,202.79,231.4,195.0
2015-08-25,220.03,4313679,230.52,230.9,219.12
2015-08-26,224.84,4951300,227.93,228.0,215.51
2015-08-27,242.99,7645773,231.0,244.75,230.81
2015-08-28,248.48,5507336,241.86,251.45,241.57
